video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=HmKKy0zD-uw&pp=ygUJdXcgY2FtcHVz,/@hafu,Hafu Go,What's It Like Inside University of Washington? | UW Campus Crawl Tour,467K,5 years,Take a peek inside the MAGICAL college campus of the University of Washington in Seattle! Give Feedback On Campus Crawl ...,2026-01-22 07:18:55.093588
/watch?v=klDLZ6mAS1k&pp=ygUJdXcgY2FtcHVz,/@CampusMania,CampusMania,University of Washington | UW | 4K Campus Drone Tour,71K,3 years,A shortened version of our University of Washington campus tour in 4K! Watch our full tour of UW campus in 8K from here: ...,2026-01-22 07:18:55.095700
/watch?v=WzJc75S-LzY&pp=ygUJdXcgY2FtcHVz,/@universityofwashington,UW (University of Washington),UW Campus Tour: Hear It from a Husky,146K,10 years,Follow UW student Joe Santiago as he shows you around the University of Washington's Seattle campus and shares his tips ...,2026-01-22 07:18:55.097488
/watch?v=l7QcjMv3LsY&pp=ygUJdXcgY2FtcHVz,/@POVTrips,POV Trips,University of Washington Tour | UW Campus Tour | Seattle POV Walk in 4K,2.8K,1 month,Discover the stunning University of Washington campus in Seattle in this 4K POV walking tour with natural ambient sound and no ...,2026-01-22 07:18:55.098725
/watch?v=Y-cn6v6VGj4&pp=ygUJdXcgY2FtcHVz0gcJCYcKAYcqIYzv,/@CampusMania,CampusMania,University of Washington | UW | 8K Campus Drone Tour,43K,4 years,An 8K tour of University of Washington campus! Check below for selected chapters of the video. Washington Universities Playlist: ...,2026-01-22 07:18:55.100800
/watch?v=OMcXkXn47UQ&pp=ygUJdXcgY2FtcHVz,/@universityofwashington,UW (University of Washington),UW Campus Tour: Hidden Gems,37K,7 years,"UW campus tour guide Liam shows off some of the best kept secrets on campus for studying, hanging out or quiet reflection.",2026-01-22 07:19:01.958802
/watch?v=D4R-YZ-VZhQ&pp=ygUJdXcgY2FtcHVz,/@adamgresch,Adam Gresch,Why You Should Go to the University of Washington,164K,7 years,A peek into what actually makes the University of Washington such a great place to go to school. Hint: It's not all the usual stuff you ...,2026-01-22 07:19:01.960827
/watch?v=jW_aLch4NVg&pp=ygUJdXcgY2FtcHVz0gcJCYcKAYcqIYzv,/@SeattlestheCity4K,Seattle's the City! Walking Tours and Events,4K UW Campus Walking Tour | University of Washington First Day of School 2025 #seattle #fall #uw,807,3 months,Join me for a 4K walking tour of the University of Washington (UW) campus in Seattle on the first day of school 2025!,2026-01-22 07:19:01.962269
/watch?v=dZcM0cT9Nvw&pp=ygUJdXcgY2FtcHVz,/@universityofwashington,UW (University of Washington),UW Campus Tour: West Campus Residence Halls,85K,7 years,"UW campus tour guide Jackie shows off west campus residence hall attractions, including spaces in and around Maple, Alder and ...",2026-01-22 07:19:01.966208
/watch?v=cnn4MZZ5H_A&pp=ygUJdXcgY2FtcHVz,/@idkpayton,payton!,a day in the life of a university of washington student 💜 | mcmahon hall dorm tour!,26K,1 year,big thank you to quinlan for taking me along with him to uni for the day and emberlee for showing me her dorm in mcmahon hall!!,2026-01-22 07:19:01.967593
