video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=X5PLCWTsgBA&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@universityofwashington,UW (University of Washington),Ask UW Admissions! Six frequent admissions questions answered,10K,10 months,"In this video, Paul Seegert, Director of Admissions for the University of Washington's campus in Seattle, answers six commonly ...",2026-01-22 07:25:56.078728
/watch?v=f_6opswUTtY&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@purpleguac,Purple Guac,UW TALKS: What You Need to Know About the University Of Washington,20K,5 years,"UW Talks Episode 1. We are seniors in college with differing backgrounds, experiences, and career paths. We came together to ...",2026-01-22 07:25:56.080589
/watch?v=oOTy5hzapkI&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@purpleguac,Purple Guac,Why University of Washington is THE BEST,33K,5 years,"UW Talk Episode 3. We are seniors in college with differing backgrounds, experiences, and career paths. We came together to ...",2026-01-22 07:25:56.082176
/watch?v=zri0utqXQ1g&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljc9IHCQmHCgGHKiGM7w%3D%3D,/@collegefinancingcoach,Crystal Clear College Planning,Demystifying University of Washington Admissions: What You Need to Know,2.9K,2 years,"Discover everything you need to know about University of Washington admissions! From GPA requirements to application tips, ...",2026-01-22 07:25:56.083931
/watch?v=unL_v4ikntg&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@uwbothell,UW Bothell,UW Bothell in 60 seconds (2025-26),567,2 months,"The University of Washington is comprised of three campuses, and our students all earn the same University of Washington ...",2026-01-22 07:26:03.043602
/watch?v=dCGh9XhNxMI&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@R247Success,R247 Success,The University of Washington System | All 3 Campuses,6.8K,2 years,The University of Washington System. University of Washington Campus Tour. University of Washington Seattle. University of ...,2026-01-22 07:26:03.045348
/watch?v=pWqc9ZGG0gg&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@studyabroadconsultant,Converge Study Abroad,Everything About Academics at University of Washington | Life at University of Washington,59,4 years,"Meet Akshay, a Collegepond Alumnus and graduate of University of Washington. He shares with you crucial firsthand information ...",2026-01-22 07:26:03.049000
/watch?v=Cq1F2je4Zvo&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@customcollegeconsulting,Custom College Consulting,College Spotlight: University of Washington,119,11 months,"Jodi Glou, President of Custom College Consulting, recently had the opportunity to visit the University of Washington (UW) Seattle, ...",2026-01-22 07:26:03.050155
/watch?v=4QHzR43852I&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljc9IHCQmHCgGHKiGM7w%3D%3D,/@universityofwashington,UW (University of Washington),UW Admissions - frequently asked questions,51K,7 years,"UW Admissions counselors talk here about the application process -- weighing academic and personal achievement, submission ...",2026-01-22 07:26:03.051266
/watch?v=TmtDJ8hX3hg&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@UWLawSeattle,UW School of Law,The UW Law Experience,893,6 months,Discover what sets UW Law apart from other law schools and why students across the country — and the globe — choose it when ...,2026-01-22 07:26:03.053613
/watch?v=JRriG9QJvGc&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@ShirishGee,Shirish Gupta (shirishgee),"UNIVERSITY OF WASHINGTON, SEATTLE - COMPLETE GUIDE HOW TO GET IN | College Admissions, College vlog",34K,3 years,Admission Advisory Form: https://forms.gle/SxgJbEHd2vQtXuqb6 ▻ FREE Profile Evaluation ...,2026-01-22 07:26:03.057245
/watch?v=ZELF-NNdSMU&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@HighlineCollege,Highline College,UW Seattle Psychology Info Session,872,7 years,An advisor from the UW Seattle Psychology department will be on campus to discuss the requirements for applying to the ...,2026-01-22 07:26:03.058847
/watch?v=VJY0Km87MPA&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@YouRiseEducation,YouRise Education,University of Washington 2024 Essays #uw #commonapp #collegeadmissions #universityofwashington,410,1 year,"Can you use AI to write a strong college essay? I compared ChatGPT, Gemini, and Claude to see how they do – check out my ...",2026-01-22 07:26:03.059879
/watch?v=fvwLVqFBFtI&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@UWVideo,UW Video,2018 University of Washington Commencement Ceremony,10K,7 years,"On June 9, 2018, the University of Washington will honor the graduating class of 2018 at the University's 143rd Annual ...",2026-01-22 07:26:03.063722
/watch?v=HQ0Gk6W-loA&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@jessicastarsinspace2563,Jessicastarsinspace,How To Choose Your Major In College | University of Washington,2.6K,3 years,"Hi everyone! I have some exciting academic updates to share with y'all in the near future, but until then, here is another video ...",2026-01-22 07:26:03.065247
/watch?v=WzJc75S-LzY&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@universityofwashington,UW (University of Washington),UW Campus Tour: Hear It from a Husky,146K,10 years,Follow UW student Joe Santiago as he shows you around the University of Washington's Seattle campus and shares his tips ...,2026-01-22 07:26:03.066883
/watch?v=xDgfNAsuFIk&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@uwsomadmissions,UW School of Medicine Admissions,Advice from Admissions,2.8K,2 years,The University of Washington School of Medicine Office of Admissions team shares advice about preparing for medical school ...,2026-01-22 07:26:03.068032
/watch?v=nrvGKqFzQJA&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljc9IHCQmHCgGHKiGM7w%3D%3D,/@universityofwashington,UW (University of Washington),Why come to the University of Washington? (:30),18M,1 year,"Get to know the University of Washington, rated one of the top public universities in the world. Are you ready to be a Husky?",2026-01-22 07:26:03.069153
/watch?v=kl1y0xaUahA&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@uwhonors,uwhonors,UW Honors: Admissions Info for Prospective Students,1.5K,2 years,UW Honors Freshman Admissions: Information for Interdisciplinary Honors Prospective Students.,2026-01-22 07:26:03.072297
/shorts/Hxfog_n-ijM,/@bethkunkle,Beth Kunkle,College Fast Facts Part 7: University of Washington,1.2K,3 years,Series for high school students - here are 5 fast facts about the University of Washington. #shorts #universityofwashington #uw.,2026-01-22 07:26:11.150382
/shorts/YzP2Zql5cGw,/@YouRiseEducation,YouRise Education,University of Washington 2024 Essays #uw #commonapp #collegeadmissions #universityofwashington,746,1 year,"Can you use AI to write a strong college essay? I compared ChatGPT, Gemini, and Claude to see how they do – check out my ...",2026-01-22 07:26:11.151730
/shorts/YUeW12uB_9g,/@Tips-For-Students,Tips For Students,Pros & Cons of the University of Washington,5.6K,1 year,"Thinking about the University of Washington? Here's a quick look at what you should know! Discover the beautiful campus, lively ...",2026-01-22 07:26:11.153110
/watch?v=CZn5jvoWQZM&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@fox13seattle,FOX 13 Seattle,University of Washington ranks 17th best university in the world | FOX 13 Seattle,6.8K,3 years,University of Washington ranks 17th best university in the world. Washington State University ranks among the top 300 ...,2026-01-22 07:26:11.154788
/watch?v=8SQRk9PL4Ms&t=13s&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@uwbothell,UW Bothell,The UW Bothell Distinction with Chancellor Kristin G. Esterberg,2.4K,1 year,"Chancellor Kristin G. Esterberg often gets the question, “What makes UW Bothell different?” In this short video, she shares three ...",2026-01-22 07:26:11.156713
/watch?v=-54X1VH6d8Y&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljc9IHCQmHCgGHKiGM7w%3D%3D,/@how2university,How2University,University of Washington - Foster School of Business | EVERYTHING YOU NEED TO KNOW,7.4K,4 years,"Tune in as Brittany Do from the Foster School of Business at the University of Washington in Seattle, Washington, US, discusses ...",2026-01-22 07:26:11.160756
/watch?v=4uRslLgGBK0&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@universityofwashington,UW (University of Washington),University of Washington joins the Big Ten Conference,1.5K,1 year,"Welcome to the University of Washington, where innovation meets tradition in the heart of the Pacific Northwest. As we join the Big ...",2026-01-22 07:26:11.162127
/watch?v=ZPaBnrvjh6s&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljc9IHCQmHCgGHKiGM7w%3D%3D,/@_morganyuan,Morgan Yuan,reading the essays that got me into UW (+ common app essay reading),9.4K,1 year,"Hey Guys! Here's the first video of many stats. This video includes the essays I submitted to UW. However, the second essay I read ...",2026-01-22 07:26:11.166864
/watch?v=kYH3yjThyoA&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@universityofwashington,UW (University of Washington),Washington Wednesday: Applying to Majors,4K,3 years,"For this part of our 'Washington Wednesday' series, admissions counselors talk frequently asked questions about applying to ...",2026-01-22 07:26:11.170168
/watch?v=_W0U3sxVoiQ&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@udubmusic,University of Washington School of Music,University of Washington School of Music Info Session,1.6K,4 years,School of Music admissions director Katie Beisel Hollenbach leads a virtual information session for prospective undergraduate ...,2026-01-22 07:26:11.174765
/watch?v=HQY9czUnd6Y&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@universityofwashington,UW (University of Washington),Tips for your UW freshman application essay,8.7K,Streamed 4 years,Get helpful tips and learn more about the writing section of the UW freshman application for admission. Join us from 5-6 p.m. on ...,2026-01-22 07:26:11.176811
/watch?v=O46jA-3-hP8&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@uwbiostatistics,University of Washington Biostatistics,What's unique about University of Washington Biostatistics?,313,3 years,Associate Director of Student Services Minh Vo highlights some unique aspects of the University of Washington Biostatistics ...,2026-01-22 07:26:11.178076
/watch?v=frTzI2igais&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@studyabroadconsultant,Converge Study Abroad,Information Management Program at the University of Washington | UW Academics,142,4 years,"Meet Apurva Saksena, a Collegepond Alumnus and graduate of University of Washington. Apurva shares with you crucial ...",2026-01-22 07:26:11.181438
/watch?v=jZlUtmWB3o8&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@UWEnvironment,UW College of the Environment,UW Student Scientists Shine on Elliott Bay – Big Ten Network Feature,276,1 year,"In the summer of 2024, the Big Ten Network came to Seattle to film University of Washington student scientists and faculty on ...",2026-01-22 07:26:11.182861
/watch?v=a6-9cnhctLs&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljcw%3D%3D,/@universityofwashington,UW (University of Washington),New University of Washington Life Sciences Building opens,4.1K,7 years,"The University of Washington today opened the doors to a new Life Sciences Building that will transform learning, teaching and ...",2026-01-22 07:26:11.184201
/watch?v=FryjfUqj5Ks&pp=ygUidW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9uIGFjYWRlbWljc9IHCQmHCgGHKiGM7w%3D%3D,/@discovergw,The George Washington University,George Washington University,9.1K,1 year,Raise High Revolutionaries! #georgewashingtonuniversity #gwu #studentlife.,2026-01-22 07:26:11.185570
